|TrainingName|TotalCost
279|cognos 8 bi metadata modeling part ii|1500
280|sa210r2 businessobjects enterprise xi r1/r2administering users and content with the cmc |1500
281|a00-203 exam: sas warehouse development specialist concepts|372
282|bo xl report creation|750
283|bo xl universe designer|1000
284|certified web component developer for jave2 platform enterprise edition 1.4|335
285|sas base certification|247
286|advanced credit scoring for basel ii|1050
287|report studio (training given by sophie degeimbre at glaverbel)|750
288|introduction to enterprise business intelligence with microstrategy 8 |250
289|introduction to enterprise business intelligence with microstrategy 8|250
290|séminaire d'inspiration organisation d'évènement|200
291|oracle business intelligence day|250
292|oracle business intelligence day|0
293|sas programming i|1450
294|business objects dashboard manager |2436
295|oo concepten en technieken|1250
296|java concepten|625
297|programmeren in java|2400
298|cours de néerlandais|800
299|creating and exploiting olap using the sas system |1025
300| le nouveau néerlandais sans peine |55,200000000000003
301|sas macro|1000
302|sas macro|1000
303|sas macro training|1000
304|sas macro training in brussels (at dvv)|1000
305|sas macro|1000
306|new french with ease: multimedia pack (hardcover) hardcover: 591 pages publisher: assimil (mar 2002) language english isbn: 2700520130 |50
307|sas macro |1000
308|advanced base software|2000
309|sas-macro processing|501
310|sas data mining conference|2945
311|unix/linux basiscursus|2300
312|excel advanced |880
313|sas base advanced|751
314|cognos performance 2006 |250
315|sas advanced training|0
316|dutch course in cll|1020
317|cognos 8 business intelligence metadata modeling part ii|1750
318|time management - organisation personnelle et gestion des priorités - csc04(day 1)|250
319|time management - organisation personnelle et gestion des priorités - csc04(day 2)|250
320|dutch group course cll|489
321|sap bw reporting and analysis by norbert eggerisbn: 1592290450sap bw data modeling by norbert egger isbn: 1592290434|100
322|practice q & a interactive testing engine a00-206 exam|30
323|assets et liabilities management|1400
324|sas programming i|1450
325|sas programming ii: manipulating data with the data step|1495
326|sql processing with sas|1550
327|perl in 24 uur, tweede editie    isbn : 9043006165|36
328|basiscursus xml : isbn : 9039522685|20
329|sas forum|400
330|sas base programming exam for sas 9|0
331|using sas data integration studio|2400
332|sas forum 2006|400
333|cognos performance 2006|250
334|fondation9 : crépusculecours du soir en néerlandais|390
335|mcitp1 - implementing and maintaining a microsoft sql server 2005 database|3000
336|java ee 5 technology overview|1284
337|zelfstudie perl + html|250
338|creating detail and summary reports|2150
339|sql processing with sas |1550
340|sas base programming exam|372
341|microsoft data warehouse in depth|3895
342|j.l. hainaut, bases de données et modèles de calculdunod, collection sciences sup, isbn 2100491466|32,689999999999998
343|oracle 9i associate dba cerfication exam guide|102,95999999999999
344|using data integration studio|2400
345|sas forum 2006|400
346|data integrator xi|3240
347|designing etl solution architecture using ms sql server 2005 integration services|1200
348|dutch course|441
349|etl architecture in depth (etld)|3895
350|pmp ® preparation course: basic program|1700
351|cognos performance 2006|0
352|sas forum belgium and luxembourg|400
353|sas belux anuual business intelligence conference|400
354|sas forum 2006|400
355|sas global forum 2007|1595
356|businessobjects desktop & web intelligence xi r2 : report design - what s new...|700
357|oracle database 10g: using olap (data warehousing and business intelligence)|1390
358|mcitp1 - exam|140
359|zelfstudie sasweb|500
360|null|50
361|basic statistics using enterprise guide|1575
362|prepare java 2 certification exam (1/5)|250
363|analytics: server architect (siebel 7.7)|1706,28
364|prepare java 2 certification exam (2/5)|250
365|unix / linux basiscursus|2300
366|using the data warehouse 	w. h. inmon, richard d. hackathorn	éd:wiley|62,93
367|data mining: concepts and techniques	jiawei han, micheline kamber|50,310000000000002
368|des données à la connaissance	daniel-t larose et thierry vallaud	éd:vuibert|24,809999999999999
369|le data warehouse	ralph kimball	éd:eyrolles|46,770000000000003
370|prepare java 2 certification exam (3/5)|250
371|training session bo xi at ing csm room 240|125
372|prepare java 2 certification exam (4/5)|250
373|sas programming i |2150
374|prepare java 2 certification exam (5/5)|250
375|oracle warehouse builder 10g: implementation part i|2460
376|oracle warehouse builder 10g: implementation part ii |1640
377|bo reporter|1000
378|business objects reporter|1000
379|bo reporter training|1000
380|bo reporter training|1000
381|sas base certification: self-study|250
382|bo reporting by leena domun|1000
383|310-055 - sun certified programmer for the java 2 platform, se 5.0|335
384|bo reporter training|1000
385|tdwi conference-europe 2006 amsterdam|1695
386|sas certification prep guide: base programming for sas 9|129
